,X,Y
0,4260.1,3476.0
1,4276.3,3475.6
2,4260.2,3475.3
3,4244.4,3494.8
4,4270.0,3467.1
5,4264.6,3477.5
6,4260.6,3465.5
7,4283.7,3488.4
8,4269.7,3474.5
9,4267.2,3482.0
10,4259.1,3478.6
11,4278.5,3462.5
12,4264.7,3487.5
13,4266.6,3469.9
14,4274.4,3476.6
15,4275.4,3472.2
16,4294.4,3375.0
17,4268.3,3531.1
18,4334.1,3528.2
19,4514.1,3576.9
20,4304.2,3417.3
21,4318.2,3538.0
22,4238.4,3542.3
23,4301.4,3419.6
24,4266.4,3469.4
25,4265.6,3479.4
26,4258.9,3474.1
27,4270.6,3492.2
28,4273.6,3462.2
29,4285.4,3458.9
30,4256.9,3499.5
31,4259.2,3475.2
32,4250.9,3462.9
33,4268.0,3447.8
34,4262.6,3463.5
35,4257.3,3489.7
36,4267.8,3478.3
37,4251.3,3465.1
38,4267.3,3480.8
39,4266.3,3470.5
40,4255.2,3455.5
41,4321.4,3450.5
42,4342.6,3459.3
43,4341.2,3513.5
44,4246.7,3488.7
45,4438.8,3442.5
46,4292.2,3333.7
47,4431.0,3381.0
48,4267.6,3476.3
49,4254.9,3461.8
50,4269.8,3504.2
51,4265.3,3465.4
52,4282.6,3469.0
53,4268.6,3470.4
54,4276.7,3459.8
55,4268.4,3469.7
56,4289.9,3466.5
57,4267.6,3464.9
58,4242.9,3470.3
59,4278.7,3456.8
60,4283.5,3475.5
61,4268.0,3471.6
62,4250.4,3483.7
63,4276.2,3459.8
64,4329.7,3491.2
65,4325.4,3360.2
66,4287.1,3478.0
67,4331.6,3328.9
68,4224.5,3447.6
69,4388.9,3360.1
70,4250.7,3559.1
71,4274.5,3428.9
72,4278.4,3478.1
73,4255.5,3480.6
74,4263.4,3474.3
75,4282.1,3462.8
76,4249.4,3476.7
77,4279.3,3452.5
78,4273.9,3455.7
79,4292.7,3456.7
80,4265.4,3457.0
81,4272.9,3474.8
82,4267.5,3482.6
83,4248.9,3474.5
84,4269.1,3470.4
85,4291.8,3478.0
86,4278.2,3480.7
87,4275.0,3471.2
88,4119.6,3367.9
89,4331.5,3414.5
90,4431.9,3302.4
91,4151.1,3413.8
92,4193.0,3418.0
93,4378.9,3163.4
94,4210.7,3462.2
95,4279.0,3652.9
96,4289.2,3507.3
97,4255.8,3443.9
98,4277.2,3449.9
99,4281.7,3490.6
100,4264.0,3477.1
101,4278.3,3452.8
102,4264.5,3483.3
103,4258.9,3474.2
104,4265.9,3444.8
105,4250.5,3453.2
106,4267.2,3459.3
107,4275.9,3432.6
108,4276.3,3464.8
109,4269.7,3449.0
110,4257.8,3448.7
111,4273.1,3451.0
112,4265.7,3286.3
113,4315.2,3469.0
114,4265.4,3503.2
115,4177.8,3394.9
116,4211.9,3508.6
117,4050.5,3452.9
118,4143.3,3604.5
119,4143.2,3386.4
120,4280.3,3446.6
121,4269.9,3473.5
122,4263.6,3458.6
123,4283.4,3456.8
124,4244.6,3467.0
125,4291.3,3455.5
126,4267.7,3463.3
127,4258.0,3453.3
128,4264.4,3432.0
129,4256.4,3453.8
130,4269.9,3450.7
131,4282.1,3452.6
132,4253.3,3445.2
133,4257.3,3439.9
134,4275.1,3432.7
135,4277.0,3449.0
136,4368.7,3357.0
137,4145.1,3393.5
138,4322.7,3293.7
139,4170.8,3452.1
140,4316.1,3494.3
141,4193.4,3381.5
142,4124.6,3623.0
143,4316.4,3487.2
144,4268.9,3421.3
145,4278.4,3459.6
146,4249.3,3479.8
147,4264.9,3463.4
148,4269.1,3461.8
149,4262.5,3438.3
150,4271.1,3463.8
151,4287.4,3454.2
152,4261.3,3473.7
153,4274.5,3476.4
154,4273.5,3443.8
155,4283.8,3420.5
156,4287.5,3451.2
157,4267.9,3464.5
158,4292.5,3447.7
159,4268.1,3425.4
160,4271.2,3410.6
161,4130.9,3527.0
162,4235.3,3412.4
163,4253.6,3426.6
164,4307.7,3574.1
165,4135.9,3388.6
166,4238.6,3547.2
167,4377.4,3331.8
168,4282.0,3446.7
169,4274.5,3428.6
170,4309.6,3432.4
171,4294.4,3457.9
172,4294.9,3424.0
173,4289.0,3417.3
174,4255.8,3458.6
175,4288.2,3433.1
176,4289.2,3438.6
177,4264.2,3445.6
178,4260.9,3434.4
179,4270.1,3434.0
180,4274.9,3438.3
181,4266.6,3449.8
182,4267.7,3455.4
183,4282.1,3419.4
184,4171.6,3433.0
185,4296.3,3540.1
186,4193.1,3545.0
187,4255.4,3381.5
188,4342.0,3178.1
189,4231.6,3519.1
190,4406.8,3485.1
191,4295.3,3382.0
192,4296.9,3425.0
193,4244.3,3444.1
194,4280.5,3448.4
195,4281.4,3418.2
196,4273.4,3458.7
197,4267.8,3441.3
198,4266.8,3431.9
199,4279.5,3432.5
200,4272.7,3429.3
201,4267.4,3467.7
202,4277.8,3458.7
203,4297.8,3422.1
204,4287.1,3432.9
205,4288.4,3446.0
206,4279.2,3459.4
207,4297.8,3453.2
208,4309.5,3663.3
209,4253.1,3471.4
210,4207.6,3521.1
211,4324.9,3721.4
212,4205.9,3345.7
213,4289.1,3566.6
214,4265.7,3440.9
215,3872.1,3332.9
216,4256.3,3433.7
217,4298.6,3435.6
218,4279.8,3412.4
219,4308.5,3446.2
220,4300.8,3426.5
221,4298.8,3444.9
222,4266.5,3434.0
223,4277.4,3427.5
224,4254.9,3404.9
225,4258.6,3442.2
226,4257.2,3423.6
227,4291.9,3417.5
228,4304.8,3433.5
229,4258.7,3454.3
230,4260.5,3455.0
231,4288.2,3453.1
232,4231.3,3545.8
233,4424.0,3472.3
234,4479.4,3545.2
235,4503.3,3354.7
236,4322.4,3514.0
237,4355.4,3328.0
238,4400.0,3372.7
239,4324.8,3224.7
240,4299.6,3423.1
241,4298.1,3439.0
242,4273.4,3462.7
243,4265.4,3444.8
244,4277.6,3426.5
245,4293.0,3459.3
246,4288.8,3426.0
247,4297.8,3425.0
248,4262.8,3453.1
249,4284.5,3462.9
250,4273.2,3433.0
251,4298.1,3429.7
252,4290.9,3425.7
253,4286.7,3458.9
254,4298.6,3429.3
255,4292.3,3448.2
256,4247.9,3657.3
257,4226.2,3421.1
258,4248.4,3353.8
259,4195.9,3476.1
260,4170.7,3181.4
261,4245.5,3348.1
262,4537.7,3381.6
263,4072.4,3179.9
264,4283.6,3430.8
265,4281.6,3420.2
266,4259.2,3423.3
267,4291.3,3427.0
268,4279.6,3429.1
269,4264.0,3435.0
270,4289.4,3426.4
271,4276.3,3442.6
272,4304.2,3461.1
273,4288.1,3446.1
274,4257.1,3421.8
275,4271.4,3413.1
276,4282.3,3416.3
277,4285.9,3413.0
278,4268.6,3416.7
279,4296.6,3392.6
280,4252.2,3476.3
281,4489.5,3385.5
282,4193.2,3437.9
283,4247.1,3497.6
284,4240.6,3318.3
285,4341.5,3323.6
286,4158.4,3587.9
287,4253.4,3393.1
288,4298.7,3423.5
289,4262.5,3417.5
290,4282.0,3395.8
291,4288.1,3424.0
292,4299.4,3422.6
293,4302.4,3429.4
294,4321.3,3395.2
295,4285.1,3447.8
296,4288.0,3431.9
297,4266.9,3414.7
298,4315.3,3408.1
299,4259.2,3428.5
300,4291.0,3422.9
301,4275.8,3450.5
302,4245.6,3426.0
303,4265.2,3429.8
304,4164.1,3399.6
305,4329.2,3426.5
306,4154.2,3378.3
307,4330.7,3224.1
308,4121.5,3412.5
309,4371.5,3566.0
310,4302.3,3431.5
311,4344.2,3495.7
312,4294.9,3410.2
313,4298.9,3392.2
314,4287.3,3424.5
315,4288.8,3397.4
316,4298.9,3417.8
317,4305.6,3430.7
318,4280.6,3437.2
319,4331.0,3433.4
320,4276.9,3420.4
321,4290.7,3393.5
322,4278.9,3407.5
323,4264.9,3413.2
324,4275.7,3403.8
325,4286.2,3412.5
326,4278.5,3440.7
327,4265.8,3419.8
328,3986.0,3481.3
329,4067.6,3283.0
330,4118.6,3658.0
331,4241.7,3640.8
332,4126.2,3496.3
333,4127.4,3270.5
334,4134.5,3616.3
335,4375.7,3482.9
336,4274.1,3407.1
337,4301.8,3397.2
338,4270.6,3429.9
339,4275.8,3415.1
340,4308.4,3426.7
341,4293.3,3397.2
342,4290.7,3389.8
343,4278.2,3419.5
344,4247.5,3417.9
345,4307.2,3406.4
346,4282.0,3431.9
347,4319.2,3381.6
348,4285.6,3438.1
349,4306.9,3421.2
350,4289.3,3408.1
351,4316.1,3439.9
352,4079.4,3406.4
353,4410.0,3335.0
354,4594.0,3289.9
355,4285.1,3532.2
356,4292.5,3432.3
357,4246.7,3187.3
358,4319.8,3522.6
359,4201.7,3444.8
360,4295.4,3396.7
361,4272.4,3419.1
362,4311.2,3443.7
363,4309.7,3438.7
364,4268.3,3397.7
365,4287.9,3395.3
366,4300.7,3429.1
367,4309.5,3457.1
368,4300.0,3424.8
369,4316.9,3402.7
370,4310.9,3426.8
371,4306.5,3414.6
372,4289.4,3409.6
373,4305.8,3438.2
374,4296.0,3411.2
375,4276.3,3408.2
376,4474.2,3517.8
377,4437.4,3241.1
378,4141.2,3456.4
379,4443.0,3393.2
380,4288.6,3168.5
381,4258.1,3337.8
382,4193.8,3440.7
383,4285.2,3283.6
384,4279.1,3445.9
385,4286.8,3407.5
386,4319.4,3418.2
387,4304.9,3402.7
388,4297.9,3365.9
389,4278.1,3396.7
390,4264.1,3410.8
391,4296.2,3425.1
392,4306.3,3431.3
393,4287.4,3378.6
394,4306.6,3388.4
395,4307.3,3429.2
396,4302.6,3407.9
397,4326.0,3417.1
398,4310.5,3435.1
399,4308.3,3396.0
400,4148.0,3566.7
401,4049.7,3192.1
402,4326.3,3266.4
403,4392.0,3491.5
404,4504.6,3443.6
405,4354.5,3292.0
406,4240.7,3563.0
407,4312.5,3389.6
408,4291.5,3430.8
409,4303.4,3406.4
410,4287.6,3411.0
411,4338.5,3381.4
412,4308.6,3412.5
413,4314.5,3413.7
414,4313.9,3437.7
415,4288.4,3399.4
416,4322.1,3395.4
417,4303.6,3429.9
418,4272.8,3409.5
419,4286.6,3453.7
420,4293.0,3409.6
421,4316.3,3418.3
422,4322.0,3402.6
423,4342.5,3383.0
424,4410.6,3513.4
425,4257.9,3325.0
426,4171.8,3236.7
427,4307.7,3336.8
428,4130.9,3348.5
429,4187.1,3463.5
